ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_keywords,rtable_keywords,label,_id
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization","latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",s narayan; sb cohen; m lapata,h jelodar; y wang; c yuan; x feng; x jiang,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",0,542
applications of deep learning in stock market prediction: recent progress,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",w jiang,a abdul; j vermeulen; d wang; by lim,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,128
analyst information discovery and interpretation roles: a topic modeling approach,detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,ah huang; r lehavy; ay zang,x chen; d zou; g cheng; h xie,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation",Applications in subject areas Data science applications in education,0,76
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,toward understanding the topical structure of hospitality literature: applying machine learning and traditional statistics,x chen; d zou; g cheng; h xie,e park; b chae; j kwon,Applications in subject areas Data science applications in education,"topical structure modeling, topic modeling",0,447
"deep learning: a comprehensive overview on techniques, taxonomy, applications and research directions",no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,ih sarker,e de vries; m schoonvelde; g schumacher,"Deep learning, Artifcial neural network, Artifcial intelligence, Discriminative learning, Generative learning, Hybrid learning, Intelligent systems","automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA",0,367
text similarity in vector space models: a comparative study,textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,o shahmirzadi; a lugowski,m jošt; e köhnen; ab morales-vilches,"text similarity, vector space model, text embedding, patent, big data","textured interfaces, solar cells, advance light management",0,1132
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",topic modeling in embedding spaces,h jelodar; y wang; c yuan; x feng; x jiang,ab dieng; fjr ruiz; dm blei,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","Embeeding Space, Topic Modeling",0,712
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,"sharp nearby, fuzzy far away: how neural language models use context",h jelodar; y wang; r orji,u khandelwal; h he; p qi; d jurafsky,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Fuzzy, Topic Modelling, Neutral Language Model",0,435
"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",stock movement prediction from tweets and historical prices,j treur,y xu; sb cohen,"Topic modeling, Network-Oriented Modeling, Adaptive Network","Twitter, Stock Price, Topic Modelling",0,838
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,"multi-co-training for document classification using various document representations: tf–idf, lda, and doc2vec",h jelodar; y wang; r orji,d kim; d seo; s cho; p kang,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Document classification, Semi-Supervised Learning, TF–IDF, LDA, Doc2Vec, Co-Training",1,405
short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,the effect of online reviews on product sales: a joint sentiment-topic analysis,t shi; k kang; j choo; ck reddy,x li; c wu; f mai,"Topic modeling, short texts, non-negative matrix factorization, word embedding","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,1023
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",w yin; j hay; d roth,zc lipton,"Classification, Topic Modelling, Zero-shot text","Machine larning, Model Interpretability",0,303
"sharp nearby, fuzzy far away: how neural language models use context",social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,u khandelwal; h he; p qi; d jurafsky,b jeong; j yoon; jm lee,"Fuzzy, Topic Modelling, Neutral Language Model",Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,0,1008
stock movement prediction from tweets and historical prices,what do hotel customers complain about? text analysis using structural topic model,y xu; sb cohen,n hu; t zhang; b gao; i bose,"Twitter, Stock Price, Topic Modelling",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,0,1097
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",the effect of online reviews on product sales: a joint sentiment-topic analysis,w yin; j hay; d roth,x li; c wu; f mai,"Classification, Topic Modelling, Zero-shot text","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,294
public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,research trends on big data in marketing: a text mining and topic modeling based literature analysis,s boon-itt; y skunkan,a amado; p cortez; p rita; s moro,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,Big data Marketing Literature analysis Research trends Text mining,0,904
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",topic modeling in management research: rendering new theory from textual data,h jelodar; y wang; c yuan; x feng; x jiang,tr hannigan; rfj haans; k vakili,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",0,706
public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,stock movement prediction from tweets and historical prices,s boon-itt; y skunkan,y xu; sb cohen,COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,"Twitter, Stock Price, Topic Modelling",1,914
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,stock movement prediction from tweets and historical prices,e de vries; m schoonvelde; g schumacher,y xu; sb cohen,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","Twitter, Stock Price, Topic Modelling",0,868
"real-time crash prediction models: state-of-the-art, design pathways and ubiquitous requirements",stock movement prediction from tweets and historical prices,m hossain; m abdel-aty; ma quddus,y xu; sb cohen,ITS Real-time crash prediction model Design pathway Universal design requirements,"Twitter, Stock Price, Topic Modelling",1,949
mapping the anti-vaccination movement on facebook,the effect of online reviews on product sales: a joint sentiment-topic analysis,n smith; t graham,x li; c wu; f mai,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,767
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,policy diffusion: the issue‐definition stage,x zhou; w liang; i kevin; k wang,f gilardi; cr shipan; b wüest,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Policy Diffusion, Topic Modeling, Definion Stage",0,44
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,automated phrase mining from massive text corpora,x zhou; w liang; i kevin; k wang,j shang; j liu; m jiang; x ren,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages",0,43
facebook language predicts depression in medical records,research trends on big data in marketing: a text mining and topic modeling based literature analysis,jc eichstaedt; rj smith,a amado; p cortez; p rita; s moro,"big data, depression, social media, Facebook, screening",Big data Marketing Literature analysis Research trends Text mining,0,567
social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",b jeong; j yoon; jm lee,a abdul; j vermeulen; d wang; by lim,Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,1067
analyst information discovery and interpretation roles: a topic modeling approach,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",ah huang; r lehavy; ay zang,h li; j zhu; c ma; j zhang,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",0,78
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,text similarity in vector space models: a comparative study,e de vries; m schoonvelde; g schumacher,o shahmirzadi; a lugowski,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","text similarity, vector space model, text embedding, patent, big data",0,852
calibration: the achilles heel of predictive analytics,health communication through news media during the early stage of the covid-19 outbreak in china: digital topic modeling approach,ben van calster; david j mcleron,q liu; z zheng; j zheng; q chen; g liu; s chen,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",coronavirus (150); COVID-19 (933); outbreak (47); health communication (36); mass media (4); public crisis (1); topic modeling (21) ,0,350
automated phrase mining from massive text corpora,using social media to mine and analyze public opinion related to covid-19 in china,j shang; j liu; m jiang; x ren,x han; j wang; m zhang; x wang,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages",coronavirus; COVID-19; social media; public opinion; China; resource allocation,0,243
automated phrase mining from massive text corpora,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",j shang; j liu; m jiang; x ren,j treur,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Topic modeling, Network-Oriented Modeling, Adaptive Network",0,270
"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",the effect of online reviews on product sales: a joint sentiment-topic analysis,h jelodar; y wang; c yuan; x feng; x jiang,x li; c wu; f mai,"Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,707
mapping the anti-vaccination movement on facebook,"social media analytics–challenges in topic discovery, data collection, and data preparation",n smith; t graham,s stieglitz; m mirbabaie; b ross,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,Social media analytics Social media Information systems Big data,0,762
mapping the anti-vaccination movement on facebook,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,n smith; t graham,c bravo gonzález-blas; l minnoye; d papasokrati,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"cis-Regulator, topic modeling",0,768
stm: an r package for structural topic models,what do hotel customers complain about? text analysis using structural topic model,me roberts; bm stewart; d tingley,n hu; t zhang; b gao; i bose,"Structural Topic Model, Topic Modeling, Text Classifications",Online hotel reviews Customer dissatisfaction Structural topic model Text mining Tripadviso,0,1074
diachronic word embeddings and semantic shifts: a survey,public perception of the covid-19 pandemic on twitter: sentiment analysis and topic modeling study,a kutuzov; l øvrelid; t szymanski; e velldal,s boon-itt; y skunkan,"Word Embedding, Semantic Shift, Topic Modelling ",COVID-19; Twitter; social media; infoveillance; infodemiology; infodemic; data; health informatics; mining; perception; topic modeling,0,490
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,facebook language predicts depression in medical records,x chen; d zou; g cheng; h xie,jc eichstaedt; rj smith,Applications in subject areas Data science applications in education,"big data, depression, social media, Facebook, screening",0,478
automated phrase mining from massive text corpora,"latent dirichlet allocation (lda) and topic modeling: models, applications, a survey",j shang; j liu; m jiang; x ren,h jelodar; y wang; c yuan; x feng; x jiang,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Topic modeling, Latent Dirichlet allocation, Tag recommendation, Semantic web, Gibbs sampling",0,259
"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",topic modeling in management research: rendering new theory from textual data,h li; j zhu; c ma; j zhang,tr hannigan; rfj haans; k vakili,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",0,925
"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",topic modeling in embedding spaces,j treur,ab dieng; fjr ruiz; dm blei,"Topic modeling, Network-Oriented Modeling, Adaptive Network","Embeeding Space, Topic Modeling",0,842
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",social media mining for product planning: a product opportunity mining approach based on topic modeling and sentiment analysis,s narayan; sb cohen; m lapata,b jeong; j yoon; jm lee,"Topic-Aware Convolutional Neural Networks, Extreme Summarization",Product opportunity New product development Social media mining Opportunity algorithm Topic modeling Sentiment analysis,0,549
aspect-aware latent factor model: rating prediction with ratings and reviews,"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",z cheng; y ding; l zhu; m kankanhalli,h li; j zhu; c ma; j zhang,"Aspect-aware, Matrix Factorization, Recommendation, Review-aware, Topic Model","Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision",0,192
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,w yin; j hay; d roth,t shi; k kang; j choo; ck reddy,"Classification, Topic Modelling, Zero-shot text","Topic modeling, short texts, non-negative matrix factorization, word embedding",0,286
policy diffusion: the issue‐definition stage,stock movement prediction from tweets and historical prices,f gilardi; cr shipan; b wüest,y xu; sb cohen,"Policy Diffusion, Topic Modeling, Definion Stage","Twitter, Stock Price, Topic Modelling",0,874
"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",the utility of topic modelling for discourse studies: a critical evaluation,s narayan; sb cohen; m lapata,g brookes; t mcenery,"Topic-Aware Convolutional Neural Networks, Extreme Summarization","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",0,528
"trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",using social media to mine and analyze public opinion related to covid-19 in china,a abdul; j vermeulen; d wang; by lim,x han; j wang; m zhang; x wang,Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,coronavirus; COVID-19; social media; public opinion; China; resource allocation,0,1216
mapping the anti-vaccination movement on facebook,stm: an r package for structural topic models,n smith; t graham,me roberts; bm stewart; d tingley,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"Structural Topic Model, Topic Modeling, Text Classifications",0,771
stm: an r package for structural topic models,using social media to mine and analyze public opinion related to covid-19 in china,me roberts; bm stewart; d tingley,x han; j wang; m zhang; x wang,"Structural Topic Model, Topic Modeling, Text Classifications",coronavirus; COVID-19; social media; public opinion; China; resource allocation,0,1083
text mining in organizational research,textured interfaces in monolithic perovskite/silicon tandem solar cells: advanced light management for improved efficiency and energy yield,vb kobayashi; st mol; ha berkers,m jošt; e köhnen; ab morales-vilches,"text mining, dimensionality reduction, clustering, topic modeling, classification, validation, job analysis","textured interfaces, solar cells, advance light management",0,1118
detecting latent topics and trends in educational technologies over four decades using structural topic modeling: a retrospective of all volumes of computers …,mapping the anti-vaccination movement on facebook,x chen; d zou; g cheng; h xie,n smith; t graham,Applications in subject areas Data science applications in education,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,0,481
applications of deep learning in stock market prediction: recent progress,topic compositional neural language model,w jiang,w wang; z gan; w wang; d shen,Stock market prediction Deep learning Machine learning Feedforward neural network Convolutional neural network Recurrent neural network ,"Neural Language Model, Topic Compositional, Topic Modeling",0,123
"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",cistopic: cis-regulatory topic modeling on single-cell atac-seq data,h li; j zhu; c ma; j zhang,c bravo gonzález-blas; l minnoye; d papasokrati,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision","cis-Regulator, topic modeling",0,943
no longer lost in translation: evidence that google translate works for comparative bag-of-words text applications,top concerns of tweeters during the covid-19 pandemic: infoveillance study,e de vries; m schoonvelde; g schumacher,a abd-alrazaq; d alhuwail; m househ; m hamdi,"automated content analysis, statistical analysis of texts, bag-of-words models, Google Translate, LDA","coronavirus, COVID-19; SARS-CoV-2 (144); 2019-nCov (8); social media (329); public health (216); Twitter (67); infoveillance (78); infodemiology (134); health informatics (20); disease surveillance (7) ",0,862
stm: an r package for structural topic models,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,me roberts; bm stewart; d tingley,c bravo gonzález-blas; l minnoye; d papasokrati,"Structural Topic Model, Topic Modeling, Text Classifications","cis-Regulator, topic modeling",0,1080
"the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.","trends and trajectories for explainable, accountable and intelligible systems: an hci research agenda",zc lipton,a abdul; j vermeulen; d wang; by lim,"Machine larning, Model Interpretability",Intelligibility; explanations; explainable artificial intelligence; interpretable machine learning.,0,1162
analyst information discovery and interpretation roles: a topic modeling approach,"network-oriented modeling for adaptive networks: designing higher-order adaptive biological, mental and social network models",ah huang; r lehavy; ay zang,j treur,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Topic modeling, Network-Oriented Modeling, Adaptive Network",0,70
calibration: the achilles heel of predictive analytics,"don't give me the details, just the summary! topic-aware convolutional neural networks for extreme summarization",ben van calster; david j mcleron,s narayan; sb cohen; m lapata,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","Topic-Aware Convolutional Neural Networks, Extreme Summarization",0,352
academic influence aware and multidimensional network analysis for research collaboration navigation based on scholarly big data,heterogeneous graph attention networks for semi-supervised short text classification,x zhou; w liang; i kevin; k wang,h linmei; t yang; c shi; h ji; x li,"Multidimensional network analysis, academic influence, scholarly big data, scholarly recommendation, research collaboration","Heterogeneous Graph Attention Networks, Semi-supervised Short Text Classification",0,23
automated phrase mining from massive text corpora,the utility of topic modelling for discourse studies: a critical evaluation,j shang; j liu; m jiang; x ren,g brookes; t mcenery,"Automatic phrase mining, phrase mining, distant training, part-of-speech tag, multiple languages","Corpus linguistics, corpus-assisted discourse studies, latent Dirichlet allocation, patient feedback, topic modelling",0,247
research trends on big data in marketing: a text mining and topic modeling based literature analysis,text similarity in vector space models: a comparative study,a amado; p cortez; p rita; s moro,o shahmirzadi; a lugowski,Big data Marketing Literature analysis Research trends Text mining,"text similarity, vector space model, text embedding, patent, big data",0,990
analyst information discovery and interpretation roles: a topic modeling approach,the effect of online reviews on product sales: a joint sentiment-topic analysis,ah huang; r lehavy; ay zang,x li; c wu; f mai,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,58
"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video",the effect of online reviews on product sales: a joint sentiment-topic analysis,h li; j zhu; c ma; j zhang,x li; c wu; f mai,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision","eWOM, electronic word-of-mouth, star rating, textual sentiment, topical sentiment, product reviews, sales, joint sentiment-topic analysis, JST, mediation analysis",0,938
"read, watch, listen, and summarize: multi-modal summarization for asynchronous text, image, audio and video","the mythos of model interpretability: in machine learning, the concept of interpretability is both important and slippery.",h li; j zhu; c ma; j zhang,zc lipton,"Summarization, Multimedia, Multi-modal, Cross-modal, Natural language processing, Computer vision","Machine larning, Model Interpretability",0,941
deep sentiment classification and topic discovery on novel coronavirus or covid-19 online discussions: nlp using lstm recurrent neural network approach,mapping the anti-vaccination movement on facebook,h jelodar; y wang; r orji,n smith; t graham,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning",Anti-vaccination; social network analysis; topic modelling; social network sites; social media,0,442
analyst information discovery and interpretation roles: a topic modeling approach,calibration: the achilles heel of predictive analytics,ah huang; r lehavy; ay zang,ben van calster; david j mcleron,"analysts, discovery, interpretation, topic modeling, latent Dirichlet allocation","Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",0,81
framing covid-19: how we conceptualize and discuss the pandemic on twitter,cistopic: cis-regulatory topic modeling on single-cell atac-seq data,p wicke; mm bolognesi,c bravo gonzález-blas; l minnoye; d papasokrati,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","cis-Regulator, topic modeling",0,605
short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,stock movement prediction from tweets and historical prices,t shi; k kang; j choo; ck reddy,y xu; sb cohen,"Topic modeling, short texts, non-negative matrix factorization, word embedding","Twitter, Stock Price, Topic Modelling",0,1030
framing covid-19: how we conceptualize and discuss the pandemic on twitter,topic modeling in embedding spaces,p wicke; mm bolognesi,ab dieng; fjr ruiz; dm blei,"Coronavirus, COVID-19, Natural Language Processing, Topic modeling, Deep Learning","Embeeding Space, Topic Modeling",0,626
mapping the anti-vaccination movement on facebook,what is wrong with topic modeling? and how to fix it using search-based software engineering,n smith; t graham,a agrawal; w fu; t menzies,Anti-vaccination; social network analysis; topic modelling; social network sites; social media,"Topic modeling, Stability, LDA, tuning, differential evolution",0,772
calibration: the achilles heel of predictive analytics,topic modeling in management research: rendering new theory from textual data,ben van calster; david j mcleron,tr hannigan; rfj haans; k vakili,"Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance","topic modeling, management theory, rendering, text analysis, big data, theory building, qualitative analysis, mixed methods",0,344
short-text topic modeling via non-negative matrix factorization enriched with local word-context correlations,text similarity in vector space models: a comparative study,t shi; k kang; j choo; ck reddy,o shahmirzadi; a lugowski,"Topic modeling, short texts, non-negative matrix factorization, word embedding","text similarity, vector space model, text embedding, patent, big data",0,1022
"benchmarking zero-shot text classification: datasets, evaluation and entailment approach",calibration: the achilles heel of predictive analytics,w yin; j hay; d roth,ben van calster; david j mcleron,"Classification, Topic Modelling, Zero-shot text","Calibration, Risk prediction models, Predictive analytics, Overfitting, Heterogeneity, Model performance",0,309
